district,year,iso_week,dengue_cases_reported,dengue_deaths_weekly,temperature_mean_week,humidity_mean_week,rainfall_total_week,temperature_max_week,humidity_max_week,population_2011,cases_per_100k,cases_lag1,cases_lag2,cases_lag3,cases_roll2_mean,cases_roll4_mean,temperature_mean_week_lag1,temperature_mean_week_lag2,humidity_mean_week_lag1,humidity_mean_week_lag2,rainfall_total_week_lag1,rainfall_total_week_lag2,week_sin,week_cos,target_cases_plus1,target_cases_plus2,district_case_q75,target_outbreak_plus1,target_outbreak_plus2,is_unreliable_2017_peak_week,exclude_target_plus1,exclude_target_plus2,exclude_training_row,worldpop_total,worldpop_density_per_km2,ndvi_mean
Kalaburagi,2023,20,0.0,0.0,33.380925233101664,13.225354179661297,0.0454078534164337,34.083794569156,14.39319936179362,2566326,0.0,0.0,0.0,0.0,0.0,0.0,31.180736550023084,28.283010686484868,18.78354528976063,20.20709377833256,6.717165504029121,6.667640038144211,0.6631226582407952,-0.7485107481711012,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3274403987335319
Kalaburagi,2023,21,0.0,0.0,32.97790832068012,15.933213556910053,0.6274376874156465,33.853437914862184,17.145780937712402,2566326,0.0,0.0,0.0,0.0,0.0,0.0,33.380925233101664,31.180736550023084,13.225354179661297,18.78354528976063,0.0454078534164337,6.717165504029121,0.5680647467311558,-0.8229838658936564,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.2934043081660714
Kalaburagi,2023,22,0.0,0.0,33.349171008472275,16.121934770701664,2.844515527453882,33.95563110618389,18.75384606908716,2566326,0.0,0.0,0.0,0.0,0.0,0.0,32.97790832068012,33.380925233101664,15.933213556910053,13.225354179661297,0.6274376874156465,0.0454078534164337,0.4647231720437687,-0.8854560256532098,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.2934043081660714
Kalaburagi,2023,23,0.0,0.0,31.872178485349195,18.83641848810473,4.770782928130391,32.935426091997954,20.373433754025086,2566326,0.0,0.0,0.0,0.0,0.0,0.0,33.349171008472275,32.97790832068012,16.121934770701664,15.933213556910053,2.844515527453882,0.6274376874156465,0.3546048870425358,-0.9350162426854148,0.0,36.0,6.0,0,1,False,False,False,False,3693906.943466556,226.89825728021688,0.2851942940122981
Kalaburagi,2023,24,0.0,0.0,31.48346246803346,18.04746942269124,0.1315367787391264,31.78999414075645,18.778111702151023,2566326,0.0,0.0,0.0,0.0,0.0,0.0,31.872178485349195,33.349171008472275,18.83641848810473,16.121934770701664,4.770782928130391,2.844515527453882,0.2393156642875576,-0.970941817426052,36.0,0.0,6.0,1,0,False,False,False,False,3693906.943466556,226.89825728021688,0.2851942940122981
Kalaburagi,2023,25,36.0,0.0,30.54948117994695,18.941949361770728,24.847356094398336,32.7019632985963,21.845868569454865,2566326,1.4027835902375614,0.0,0.0,0.0,0.0,0.0,31.48346246803346,31.872178485349195,18.04746942269124,18.83641848810473,0.1315367787391264,4.770782928130391,0.120536680255323,-0.992708874098054,0.0,5.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.2597132063118089
Kalaburagi,2023,26,0.0,0.0,27.24433174699212,21.1784395806279,19.47892687100589,28.009397611797453,21.58719511606296,2566326,0.0,36.0,0.0,0.0,18.0,9.0,30.54948117994695,31.48346246803346,18.941949361770728,18.04746942269124,24.847356094398336,0.1315367787391264,1.2246467991473532e-16,-1.0,5.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.2597132063118089
Kalaburagi,2023,27,5.0,0.0,26.237762117339816,21.567050373895103,34.61449093087771,27.29469953324997,22.486534501461502,2566326,0.1948310541996613,0.0,36.0,0.0,18.0,9.0,27.24433174699212,30.54948117994695,21.1784395806279,18.941949361770728,19.47892687100589,24.847356094398336,-0.1205366802553232,-0.992708874098054,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.1947228652827734
Kalaburagi,2023,28,0.0,0.0,26.605064852110072,21.167452669684145,20.21670911668338,27.138014775671422,21.51842592602356,2566326,0.0,5.0,0.0,36.0,2.5,10.25,26.237762117339816,27.24433174699212,21.567050373895103,21.1784395806279,34.61449093087771,19.47892687100589,-0.2393156642875574,-0.970941817426052,0.0,13.0,6.0,0,1,False,False,False,False,3693906.943466556,226.89825728021688,0.1947228652827734
Kalaburagi,2023,29,0.0,0.0,23.923094115682748,21.777691652685785,186.2963240355724,24.945716507994405,22.16449070845056,2566326,0.0,0.0,5.0,0.0,2.5,10.25,26.605064852110072,26.237762117339816,21.167452669684145,21.567050373895103,20.21670911668338,34.61449093087771,-0.3546048870425356,-0.9350162426854148,13.0,0.0,6.0,1,0,False,False,False,False,3693906.943466556,226.89825728021688,0.1947228652827734
Kalaburagi,2023,30,13.0,0.0,24.349600348116446,21.34118799651512,151.52580121146335,25.79468305965696,21.58503143861259,2566326,0.5065607409191194,0.0,0.0,5.0,0.0,1.25,23.923094115682748,26.605064852110072,21.777691652685785,21.167452669684145,186.2963240355724,20.21670911668338,-0.464723172043768,-0.8854560256532101,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3962752212563389
Kalaburagi,2023,31,0.0,0.0,25.88121875957696,21.078841444873188,14.84567424373835,26.16162830988702,21.603530929976102,2566326,0.0,13.0,0.0,0.0,6.5,4.5,24.349600348116446,23.923094115682748,21.34118799651512,21.777691652685785,151.52580121146335,186.2963240355724,-0.5680647467311556,-0.8229838658936565,0.0,9.0,6.0,0,1,False,False,False,False,3693906.943466556,226.89825728021688,0.3962752212563389
Kalaburagi,2023,32,0.0,0.0,26.27142381140277,20.94458289031673,5.426622813266362,26.690269881156325,21.534426144601923,2566326,0.0,0.0,13.0,0.0,6.5,3.25,25.88121875957696,24.349600348116446,21.078841444873188,21.34118799651512,14.84567424373835,151.52580121146335,-0.6631226582407953,-0.748510748171101,9.0,0.0,6.0,1,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4408261180067252
Kalaburagi,2023,33,9.0,0.0,26.32528822614232,20.259539948814467,7.759081780985648,27.014934021553582,20.933851287755544,2566326,0.3506958975593903,0.0,0.0,13.0,0.0,3.25,26.27142381140277,25.88121875957696,20.94458289031673,21.078841444873188,5.426622813266362,14.84567424373835,-0.7485107481711007,-0.6631226582407955,0.0,19.0,6.0,0,1,False,False,False,False,3693906.943466556,226.89825728021688,0.4408261180067252
Kalaburagi,2023,34,0.0,0.0,27.127538691995817,20.410223278196604,7.728571015487661,27.632116893477587,21.488467353728595,2566326,0.0,9.0,0.0,0.0,4.5,5.5,26.32528822614232,26.27142381140277,20.259539948814467,20.94458289031673,7.759081780985648,5.426622813266362,-0.8229838658936564,-0.5680647467311559,19.0,45.0,6.0,1,1,False,False,False,False,3693906.943466556,226.89825728021688,0.5015556652117578
Kalaburagi,2023,35,19.0,0.0,27.16224301531758,21.08696994343049,42.18902946487348,28.390611771773933,22.99642851477301,2566326,0.7403580059587129,0.0,9.0,0.0,4.5,2.25,27.127538691995817,26.32528822614232,20.410223278196604,20.259539948814467,7.728571015487661,7.759081780985648,-0.88545602565321,-0.4647231720437683,45.0,21.0,6.0,1,1,False,False,False,False,3693906.943466556,226.89825728021688,0.5015556652117578
Kalaburagi,2023,36,45.0,0.0,25.32461754102946,21.404122127104635,44.92938703966561,26.55925471823747,22.115624545848338,2566326,1.7534794877969515,19.0,0.0,9.0,9.5,7.0,27.16224301531758,27.127538691995817,21.08696994343049,20.410223278196604,42.18902946487348,7.728571015487661,-0.9350162426854148,-0.3546048870425359,21.0,22.0,6.0,1,1,False,False,False,False,3693906.943466556,226.89825728021688,0.5015556652117578
Kalaburagi,2023,37,21.0,0.0,26.1415490570695,20.588162507685265,3.1455378857700973,26.497601384075324,21.39805920498844,2566326,0.8182904276385775,45.0,19.0,0.0,32.0,18.25,25.32461754102946,27.16224301531758,21.404122127104635,21.08696994343049,44.92938703966561,42.18902946487348,-0.970941817426052,-0.2393156642875577,22.0,0.0,6.0,1,0,False,False,False,False,3693906.943466556,226.89825728021688,0.5836958541884123
Kalaburagi,2023,38,22.0,0.0,26.01194421301115,21.94418024378617,38.61414268987106,26.845220969806576,22.591909556465453,2566326,0.8572566384785097,21.0,45.0,19.0,33.0,21.25,26.1415490570695,25.32461754102946,20.588162507685265,21.404122127104635,3.1455378857700973,44.92938703966561,-0.992708874098054,-0.1205366802553235,0.0,24.0,6.0,0,1,False,False,False,False,3693906.943466556,226.89825728021688,0.5836958541884123
Kalaburagi,2023,39,0.0,0.0,25.39430834935244,22.225327130353605,48.78362416980676,25.83277325389884,22.707047198596285,2566326,0.0,22.0,21.0,45.0,21.5,26.75,26.01194421301115,26.1415490570695,21.94418024378617,20.588162507685265,38.61414268987106,3.1455378857700973,-1.0,-1.8369701987210287e-16,24.0,92.0,6.0,1,1,False,False,False,False,3693906.943466556,226.89825728021688,0.6548536004968084
